work,book,from_line,to_line,speaker,addressee,cluster_id,cluster_part,simple_cluster_type,length,embedded_level,spkr_type
Iliad,1,17,21,Chryses,Agamemnon and Greeks,1,1,general interlocution,5,0,mortal
Iliad,1,26,32,Agamemnon,Chryses,1,2,general interlocution,7,0,mortal
Iliad,1,37,42,Chryses,Apollo,2,1,monologue,6,0,mortal
Iliad,1,59,67,Achilles,Agamemnon,3,1,general interlocution,9,0,mortal
Iliad,1,74,83,Calchas,Achilles,3,2,general interlocution,10,0,mortal
Iliad,1,85,91,Achilles,Calchas,3,3,general interlocution,7,0,mortal
Iliad,1,93,100,Calchas,Achilles,3,4,general interlocution,8,0,mortal
Iliad,1,106,120,Agamemnon,Calchas,3,5,general interlocution,15,0,mortal
Iliad,1,122,129,Achilles,Agamemnon,3,6,general interlocution,8,0,mortal
Iliad,1,131,147,Agamemnon,Achilles,3,7,general interlocution,17,0,mortal
Iliad,1,149,171,Achilles,Agamemnon,3,8,general interlocution,23,0,mortal
Iliad,1,173,187,Agamemnon,Achilles,3,9,general interlocution,15,0,mortal
Iliad,1,202,205,Achilles,Athena,4,1,dialogue,4,0,mortal
Iliad,1,207,214,Athena,Achilles,4,2,dialogue,8,0,god
Iliad,1,216,218,Achilles,Athena,4,3,dialogue,3,0,mortal
Iliad,1,225,244,Achilles,Agamemnon,3,10,general interlocution,20,0,mortal
Iliad,1,254,284,Nestor,Agamemnon and Achilles,3,11,general interlocution,31,0,mortal
Iliad,1,286,291,Agamemnon,Nestor,3,12,general interlocution,6,0,mortal
Iliad,1,293,303,Achilles,Agamemnon,3,13,general interlocution,11,0,mortal
Iliad,1,322,325,Agamemnon,Talthybius and Eurybates,5,1,monologue,4,0,mortal
Iliad,1,334,344,Achilles,Talthybius and Eurybates and Patroclus,6,1,monologue,11,0,mortal
Iliad,1,352,356,Achilles,Thetis,7,1,dialogue,5,0,mortal
Iliad,1,362,363,Thetis,Achilles,7,2,dialogue,2,0,god
Iliad,1,365,412,Achilles,Thetis,7,3,dialogue,48,0,mortal
Iliad,1,414,427,Thetis,Achilles,7,4,dialogue,14,0,god
Iliad,1,442,445,Odysseus,Chryses,8,1,monologue,4,0,mortal
Iliad,1,451,456,Chryses,Apollo,9,1,monologue,6,0,mortal
Iliad,1,503,510,Thetis,Zeus,10,1,dialogue,8,0,god
Iliad,1,514,516,Thetis,Zeus,10,2,dialogue,3,0,god
Iliad,1,518,527,Zeus,Thetis,10,3,dialogue,10,0,god
Iliad,1,540,543,Hera,Zeus,11,1,dialogue,4,0,god
Iliad,1,545,550,Zeus,Hera,11,2,dialogue,6,0,god
Iliad,1,552,559,Hera,Zeus,11,3,dialogue,8,0,god
Iliad,1,561,567,Zeus,Hera,11,4,dialogue,7,0,god
Iliad,1,573,583,Hephaestus,gods,12,1,monologue,11,0,god
Iliad,1,586,594,Hephaestus,Hera,13,1,monologue,9,0,god
Iliad,2,8,15,Zeus,dream,14,1,monologue,8,0,god
Iliad,2,23,34,dream,Agamemnon,15,1,monologue,12,0,god
Iliad,2,56,75,Agamemnon,leaders of the Greeks (Greek soldiers),16,1,general interlocution,20,0,mortal
Iliad,2,60,70,dream,Agamemnon,17,1,monologue,11,1,god
Iliad,2,79,83,Nestor,leaders of the Greeks (Greek soldiers),17,2,general interlocution,5,0,mortal
Iliad,2,110,141,Agamemnon,Greeks,18,1,monologue,32,0,mortal
Iliad,2,157,165,Hera,Athena,19,1,monologue,9,0,god
Iliad,2,173,181,Athena,Odysseus,20,1,monologue,9,0,god
Iliad,2,190,197,Odysseus,leaders of the Greeks (Greek soldiers),21,1,monologue,8,0,mortal
Iliad,2,200,206,Odysseus,Greeks,22,1,monologue,7,0,mortal
Iliad,2,225,242,Thersites,Agamemnon,23,1,general interlocution,18,0,mortal
Iliad,2,246,264,Odysseus,Thersites,23,2,general interlocution,19,0,mortal
Iliad,2,272,277,Greeks,Greeks,24,1,monologue,6,0,mortal
Iliad,2,284,332,Odysseus,Greeks,25,1,general interlocution,49,0,mortal
Iliad,2,323,329,Calchas,Greeks,26,1,monologue,7,1,mortal
Iliad,2,337,368,Nestor,Greeks,25,2,general interlocution,32,0,mortal
Iliad,2,370,393,Agamemnon,Greeks and Nestor and Apollo and Zeus and Athena,25,3,general interlocution,24,0,mortal
Iliad,2,412,418,Agamemnon,Zeus,27,1,monologue,7,0,mortal
Iliad,2,434,440,Nestor,Agamemnon,28,1,monologue,7,0,mortal
Iliad,2,796,806,Iris,Priam,29,1,monologue,11,0,god
Iliad,3,39,57,Hector,Paris,30,1,dialogue,19,0,mortal
Iliad,3,59,75,Paris,Hector,30,2,dialogue,17,0,mortal
Iliad,3,82,83,Agamemnon,Greeks,31,1,monologue,2,0,mortal
Iliad,3,86,94,Hector,Greeks and Trojans,32,1,general interlocution,9,0,mortal
Iliad,3,97,110,Menelaus,Greeks and Trojans,32,2,general interlocution,14,0,mortal
Iliad,3,130,138,Iris,Helena,33,1,monologue,9,0,god
Iliad,3,156,160,Trojan old men,Trojan old men,34,1,monologue,5,0,mortal
Iliad,3,162,170,Priam,Helena,35,1,general interlocution,9,0,mortal
Iliad,3,172,180,Helena,Priam,35,2,general interlocution,9,0,mortal
Iliad,3,182,190,Priam,Helena,35,3,general interlocution,9,0,mortal
Iliad,3,192,198,Priam,Helena,35,4,general interlocution,7,0,mortal
Iliad,3,200,202,Helena,Priam,35,5,general interlocution,3,0,mortal
Iliad,3,204,224,Antenor,Helena,35,6,general interlocution,21,0,mortal
Iliad,3,226,227,Priam,Helena,35,7,general interlocution,2,0,mortal
